,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,La Ronge,90,CA,1601601191,61,55.1,-105.28,8,1
1,Jamestown,90,US,1601601193,87,42.1,-79.24,9.44,2.6
2,Smithers,40,CA,1601601195,59,54.78,-127.17,19,2.1
3,Albany,23,US,1601601198,69,42.6,-73.97,12.78,1.81
4,Tuktoyaktuk,90,CA,1601601200,100,69.45,-133.04,4,5.7
5,Busselton,79,AU,1601601202,69,-33.65,115.33,13.89,6.17
6,Raudeberg,54,NO,1601601204,49,61.99,5.14,15.56,5.19
7,Tasiilaq,100,GL,1601601206,98,65.61,-37.64,0,13.9
8,Severo-Kuril'sk,100,RU,1601601209,74,50.68,156.12,10.42,2.37
9,East London,100,ZA,1601601211,73,-33.02,27.91,14.7,7.14
10,Saldanha,100,ZA,1601601214,81,-33.01,17.94,12,2.6
11,Rikitea,0,PF,1601601216,79,-23.12,-134.97,23.05,8.44
12,Sumbe,83,AO,1601601218,88,-11.21,13.84,21.89,2.99
13,Newport,100,GB,1601601220,97,51.59,-3.0,10.56,8.59
14,Yulara,0,AU,1601601222,12,-25.24,130.99,29,1.5
15,Phan Thiet,100,VN,1601601224,77,10.93,108.1,27.79,1.56
16,Ushuaia,75,AR,1601601227,92,-54.8,-68.3,-1,9.3
17,Bengkulu,99,ID,1601601216,90,-3.8,102.27,25,4.14
18,Arraial do Cabo,0,BR,1601601128,85,-22.97,-42.03,23.59,11.53
19,Pisco,1,PE,1601601233,82,-13.7,-76.22,17,9.8
20,Nālūt,1,LY,1601601235,20,30.33,10.85,26.97,4.89
21,San Cristobal,78,VE,1601601237,88,7.77,-72.22,19.49,0.71
22,Hermanus,100,ZA,1601601239,77,-34.42,19.23,12.78,3.13
23,Kumul,100,CN,1601601242,40,42.8,93.45,9.82,6.4
24,Ancud,61,CL,1601601244,64,-41.87,-73.82,5,3.6
25,Punta Arenas,0,CL,1601601247,91,-53.15,-70.92,0,4.6
26,Khatanga,100,RU,1601601249,98,71.97,102.5,0.68,5.17
27,Rumoi,75,JP,1601601251,87,43.93,141.64,15,1
28,Westerland,100,DE,1601601253,82,54.91,8.3,14,5.7
29,Saint Paul Harbor,90,US,1601601255,87,57.79,-152.41,10,10.8
30,Daru,100,PG,1601601257,72,-9.08,143.21,26,7.37
31,Bluff,100,NZ,1601601259,57,-46.6,168.33,13.89,4.47
32,Cape Town,40,ZA,1601601261,58,-33.93,18.42,14.44,9.8
33,Pierre,1,US,1601601264,43,44.37,-100.35,11,3.1
34,Kamenka,100,RU,1601601265,64,51.32,42.77,9.44,0.45
35,Butaritari,0,KI,1601601268,72,3.07,172.79,27.25,5.89
36,Ilhabela,65,BR,1601601270,63,-23.78,-45.36,27.58,2.58
37,Port Alfred,97,ZA,1601601251,71,-33.59,26.89,14.3,9.08
38,Airai,0,TL,1601601274,50,-8.93,125.41,23.14,2.97
39,Qaanaaq,82,GL,1601601276,79,77.48,-69.36,-9.85,2.24
40,Porto-Novo,4,BJ,1601601278,88,6.5,2.6,24.15,2.78
41,Puerto Ayora,98,EC,1601601280,86,-0.74,-90.35,20,4.02
42,Riyadh,0,SA,1601601190,19,24.69,46.72,26,2.6
43,Laem Sing,63,TH,1601601284,94,12.48,102.07,28.33,1.51
44,Tessalit,0,ML,1601601287,13,20.2,1.01,31.13,6.15
45,George Town,20,MY,1601601289,88,5.41,100.34,27,2.6
46,Bud,75,US,1601601291,62,39.45,-86.18,12.22,3.6
47,Bahār,0,IR,1601601293,66,34.91,48.44,9.57,0.43
48,Provideniya,90,RU,1601601296,93,64.38,-173.3,4,7
49,Port Elizabeth,90,ZA,1601601280,58,-33.92,25.57,15,7.7
50,Avarua,0,CK,1601601300,83,-21.21,-159.78,27,6.2
51,Kruisfontein,100,ZA,1601601303,81,-34.0,24.73,12.78,4.02
52,Saint-Philippe,2,RE,1601601305,60,-21.36,55.77,21,3.1
53,Atuona,4,PF,1601601307,76,-9.8,-139.03,25.84,9.06
